npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  6/4/2026 4:24:47 PM ::1 Returned 200 in 4 ms
 HTTP  6/4/2026 4:24:47 PM ::1 Returned 200 in 4 ms
 HTTP  6/4/2026 4:24:47 PM ::1 GET /_next/static/chunks/b065f1efceca73e3.js
 HTTP  6/4/2026 4:24:47 PM ::1 GET /_next/static/chunks/ff1a16fafef87110.js
 HTTP  6/4/2026 4:24:47 PM ::1 GET /_next/static/chunks/d2be314c3ece3fbe.js
 HTTP  6/4/2026 4:24:47 PM ::1 GET /_next/static/chunks/160baef5f53ef8fe.js
 HTTP  6/4/2026 4:24:47 PM ::1 Returned 200 in 3 ms
 HTTP  6/4/2026 4:24:47 PM ::1 Returned 200 in 3 ms
 HTTP  6/4/2026 4:24:47 PM ::1 Returned 200 in 2 ms
 HTTP  6/4/2026 4:24:47 PM ::1 GET /_next/static/chunks/11379bec3d76dd96.js
 HTTP  6/4/2026 4:24:47 PM ::1 Returned 200 in 3 ms
 HTTP  6/4/2026 4:24:47 PM ::1 Returned 200 in 2 ms
 HTTP  6/4/2026 4:25:24 PM ::1 GET /admin.html
 HTTP  6/4/2026 4:25:24 PM ::1 Returned 301 in 0 ms
 HTTP  6/4/2026 4:25:24 PM ::1 GET /admin
 HTTP  6/4/2026 4:25:24 PM ::1 Returned 200 in 3 ms
 HTTP  6/4/2026 4:25:24 PM ::1 GET /_next/static/media/797e433ab948586e-s.p.479bea2b.woff2
 HTTP  6/4/2026 4:25:24 PM ::1 GET /_next/static/chunks/dce177ee8663cad3.css
 HTTP  6/4/2026 4:25:24 PM ::1 GET /_next/static/media/caa3a2e1cccd8315-s.p.3b6cae6d.woff2
 HTTP  6/4/2026 4:25:24 PM ::1 Returned 200 in 2 ms
 HTTP  6/4/2026 4:25:24 PM ::1 Returned 200 in 2 ms
 HTTP  6/4/2026 4:25:24 PM ::1 Returned 200 in 2 ms
 HTTP  6/4/2026 4:25:24 PM ::1 GET /_next/static/chunks/b512828fa85e3f74.js
 HTTP  6/4/2026 4:25:24 PM ::1 GET /_next/static/chunks/806bdb8e4a6a9b95.js
 HTTP  6/4/2026 4:25:24 PM ::1 GET /_next/static/chunks/aee6c7720838f8a2.js
 HTTP  6/4/2026 4:25:24 PM ::1 GET /_next/static/chunks/2378da1e627371ff.js
 HTTP  6/4/2026 4:25:24 PM ::1 GET /_next/static/chunks/turbopack-d7cf14533db7ff36.js
 HTTP  6/4/2026 4:25:24 PM ::1 GET /_next/static/chunks/638d3bc1293b1fca.js
 HTTP  6/4/2026 4:25:24 PM ::1 Returned 200 in 4 ms
 HTTP  6/4/2026 4:25:24 PM ::1 Returned 200 in 4 ms
 HTTP  6/4/2026 4:25:24 PM ::1 Returned 200 in 4 ms
 HTTP  6/4/2026 4:25:24 PM ::1 Returned 200 in 5 ms
 HTTP  6/4/2026 4:25:24 PM ::1 Returned 200 in 6 ms
 HTTP  6/4/2026 4:25:24 PM ::1 Returned 200 in 7 ms
 HTTP  6/4/2026 4:25:24 PM ::1 GET /_next/static/chunks/b065f1efceca73e3.js
 HTTP  6/4/2026 4:25:24 PM ::1 Returned 200 in 1 ms
 HTTP  6/4/2026 4:25:24 PM ::1 GET /_next/static/chunks/ff1a16fafef87110.js
 HTTP  6/4/2026 4:25:24 PM ::1 GET /_next/static/chunks/d2be314c3ece3fbe.js
 HTTP  6/4/2026 4:25:24 PM ::1 GET /_next/static/chunks/9c02133c08961b93.js
 HTTP  6/4/2026 4:25:24 PM ::1 Returned 200 in 5 ms
 HTTP  6/4/2026 4:25:24 PM ::1 Returned 200 in 4 ms
 HTTP  6/4/2026 4:25:24 PM ::1 GET /_next/static/chunks/0ef31370e84ff658.js
 HTTP  6/4/2026 4:25:24 PM ::1 Returned 200 in 22 ms
 HTTP  6/4/2026 4:25:24 PM ::1 Returned 200 in 11 ms
 HTTP  6/4/2026 4:25:24 PM ::1 HEAD /
 HTTP  6/4/2026 4:25:24 PM ::1 Returned 200 in 1 ms
 HTTP  6/4/2026 4:25:24 PM ::1 GET /__next._tree.txt?_rsc=17qrm
 HTTP  6/4/2026 4:25:24 PM ::1 Returned 200 in 1 ms
 HTTP  6/4/2026 4:25:24 PM ::1 GET /__next._head.txt?_rsc=m0mb1
 HTTP  6/4/2026 4:25:24 PM ::1 GET /__next._index.txt?_rsc=444lg
 HTTP  6/4/2026 4:25:24 PM ::1 Returned 200 in 1 ms
 HTTP  6/4/2026 4:25:24 PM ::1 Returned 200 in 3 ms
 HTTP  6/4/2026 4:25:24 PM ::1 GET /__next.__PAGE__.txt?_rsc=941a9
 HTTP  6/4/2026 4:25:24 PM ::1 Returned 200 in 0 ms
 HTTP  6/4/2026 4:25:25 PM ::1 GET /_next/static/chunks/160baef5f53ef8fe.js
 HTTP  6/4/2026 4:25:25 PM ::1 Returned 200 in 1 ms
 HTTP  6/4/2026 4:25:25 PM ::1 GET /_next/static/chunks/11379bec3d76dd96.js
 HTTP  6/4/2026 4:25:25 PM ::1 Returned 200 in 2 ms
